trip_id,deviceid,date,start_terminal,end_terminal,direction,start_time,end_time,duration,duration_in_mins
1,262,10-01-2021,BT01,BT02,1,06:39:49,07:27:32,00:47:43,47.72
2,1143,10-01-2021,BT02,BT01,2,06:50:46,07:38:33,00:47:47,47.78
3,274,10-01-2021,BT02,BT01,2,06:58:03,07:51:21,00:53:18,53.3
4,123,10-01-2021,BT02,BT01,2,07:30:59,08:15:44,00:44:45,44.75
5,513,10-01-2021,BT02,BT01,2,07:49:42,08:39:23,00:49:41,49.68
6,1358,10-01-2021,BT02,BT01,2,07:59:57,08:45:24,00:45:27,45.45
7,1143,10-01-2021,BT01,BT02,1,08:21:24,09:14:58,00:53:34,53.57
8,274,10-01-2021,BT01,BT02,1,08:40:27,09:34:49,00:54:22,54.37
9,262,10-01-2021,BT02,BT01,2,08:40:37,09:33:22,00:52:45,52.75
10,123,10-01-2021,BT01,BT02,1,09:11:33,10:00:55,00:49:22,49.37
11,513,10-01-2021,BT01,BT02,1,09:31:27,10:24:37,00:53:10,53.17
12,1358,10-01-2021,BT01,BT02,1,09:40:42,10:37:23,00:56:41,56.68
13,1143,10-01-2021,BT02,BT01,2,09:49:36,10:47:23,00:57:47,57.78
14,274,10-01-2021,BT02,BT01,2,10:11:18,11:09:21,00:58:03,58.05
15,262,10-01-2021,BT01,BT02,1,10:21:38,11:17:01,00:55:23,55.38
16,123,10-01-2021,BT02,BT01,2,10:41:25,11:32:45,00:51:20,51.33
17,513,10-01-2021,BT02,BT01,2,11:00:50,11:56:26,00:55:36,55.6
18,1358,10-01-2021,BT02,BT01,2,11:11:44,12:05:47,00:54:03,54.05
19,1143,10-01-2021,BT01,BT02,1,11:31:38,12:28:41,00:57:03,57.05
20,262,10-01-2021,BT02,BT01,2,11:46:36,12:43:16,00:56:40,56.67
21,274,10-01-2021,BT01,BT02,1,11:51:31,12:46:49,00:55:18,55.3
22,123,10-01-2021,BT01,BT02,1,12:22:39,13:16:16,00:53:37,53.62
23,513,10-01-2021,BT01,BT02,1,12:41:25,13:25:58,00:44:33,44.55
24,1358,10-01-2021,BT01,BT02,1,12:52:14,13:45:26,00:53:12,53.2
25,1143,10-01-2021,BT02,BT01,2,13:01:17,13:53:54,00:52:37,52.62
26,274,10-01-2021,BT02,BT01,2,13:20:57,14:16:50,00:55:53,55.88
27,262,10-01-2021,BT01,BT02,1,13:40:45,14:35:20,00:54:35,54.58
28,513,10-01-2021,BT02,BT01,2,14:03:21,14:57:07,00:53:46,53.77
29,1358,10-01-2021,BT02,BT01,2,14:12:55,15:12:38,00:59:43,59.72
30,262,10-01-2021,BT02,BT01,2,15:24:26,16:25:49,01:01:23,61.38
31,1143,10-01-2021,BT01,BT02,1,15:53:35,17:10:52,01:17:17,77.28
32,274,10-01-2021,BT01,BT02,1,16:40:08,17:54:00,01:13:52,73.87
33,513,10-01-2021,BT01,BT02,1,17:54:15,19:03:09,01:08:54,68.9
34,1358,10-01-2021,BT01,BT02,1,18:12:45,19:12:45,01:00:00,60
35,123,10-01-2021,BT01,BT02,1,20:22:14,20:55:27,00:33:13,33.22
36,279,10-02-2021,BT02,BT01,2,05:33:01,06:04:08,00:31:07,31.12
37,1143,10-02-2021,BT02,BT01,2,06:41:16,07:24:13,00:42:57,42.95
38,262,10-02-2021,BT01,BT02,1,06:41:47,07:29:29,00:47:42,47.7
39,279,10-02-2021,BT01,BT02,1,06:52:01,07:44:33,00:52:32,52.53
40,513,10-02-2021,BT02,BT01,2,07:10:04,07:54:09,00:44:05,44.08
41,1358,10-02-2021,BT02,BT01,2,07:47:04,08:37:10,00:50:06,50.1
42,1143,10-02-2021,BT01,BT02,1,07:51:02,08:45:32,00:54:30,54.5
43,513,10-02-2021,BT01,BT02,1,08:18:48,09:01:50,00:43:02,43.03
44,123,10-02-2021,BT02,BT01,2,08:30:57,09:19:09,00:48:12,48.2
45,262,10-02-2021,BT02,BT01,2,08:51:33,09:48:17,00:56:44,56.73
46,279,10-02-2021,BT02,BT01,2,09:11:28,10:05:19,00:53:51,53.85
47,1358,10-02-2021,BT01,BT02,1,09:33:49,10:28:52,00:55:03,55.05
48,1143,10-02-2021,BT02,BT01,2,09:50:57,10:43:56,00:52:59,52.98
49,264,10-02-2021,BT01,BT02,1,10:21:38,11:12:52,00:51:14,51.23
50,1358,10-02-2021,BT02,BT01,2,10:45:15,11:35:53,00:50:38,50.63
51,123,10-02-2021,BT01,BT02,1,11:02:02,11:57:26,00:55:24,55.4
52,262,10-02-2021,BT01,BT02,1,11:40:25,12:35:29,00:55:04,55.07
53,123,10-02-2021,BT02,BT01,2,12:02:45,13:06:55,01:04:10,64.17
54,279,10-02-2021,BT01,BT02,1,12:20:51,13:18:42,00:57:51,57.85
